description;date;time;duration_s;frequency;min;max;avg
balkon-24h-v2;6-12-2024;2:58:15;60;433920000;0.00020934;0.00589283;0.000299063
balkon-24h-v2;6-12-2024;2:59:30;60;433920000;0.000197509;0.000397818;0.000242937
balkon-24h-v2;6-12-2024;3:0:45;60;433920000;0.000191504;0.000586321;0.000231811
balkon-24h-v2;6-12-2024;3:2:0;60;433920000;0.000179045;0.000550345;0.000222201
balkon-24h-v2;6-12-2024;3:3:15;60;433920000;0.000177834;0.000638541;0.00021948
balkon-24h-v2;6-12-2024;3:4:30;60;433920000;0.000175661;0.00062444;0.000217834
balkon-24h-v2;6-12-2024;3:5:45;60;433920000;0.000171669;0.0005867;0.000214175
balkon-24h-v2;6-12-2024;3:7:0;60;433920000;0.000162461;0.000485296;0.000200169
balkon-24h-v2;6-12-2024;3:8:15;60;433920000;0.00016294;0.00213332;0.0001935
balkon-24h-v2;6-12-2024;3:9:30;60;433920000;0.00016383;0.00036738;0.000200024
balkon-24h-v2;6-12-2024;3:10:45;60;433920000;0.000162595;0.000296056;0.000196251
balkon-24h-v2;6-12-2024;3:12:0;60;433920000;0.000161296;0.000288911;0.000193634
balkon-24h-v2;6-12-2024;3:13:15;60;433920000;0.000162381;0.000289725;0.000192911
balkon-24h-v2;6-12-2024;3:14:30;60;433920000;0.000164465;0.000442037;0.000194792
balkon-24h-v2;6-12-2024;3:15:45;60;433920000;0.000163968;0.000436781;0.000193961
balkon-24h-v2;6-12-2024;3:17:0;60;433920000;0.000167097;0.000342403;0.000197148
balkon-24h-v2;6-12-2024;3:18:15;60;433920000;0.000174267;0.000407276;0.000217024
balkon-24h-v2;6-12-2024;3:19:30;60;433920000;0.000168;0.000383579;0.00021946
balkon-24h-v2;6-12-2024;3:20:45;60;433920000;0.000170503;0.000452601;0.000205874
balkon-24h-v2;6-12-2024;3:22:0;60;433920000;0.000162764;0.000361101;0.000206308
balkon-24h-v2;6-12-2024;3:23:15;60;433920000;0.000162807;0.000552899;0.000199827
balkon-24h-v2;6-12-2024;3:24:30;60;433920000;0.000171491;0.000530769;0.00021536
balkon-24h-v2;6-12-2024;3:25:45;60;433920000;0.000163994;0.000542901;0.000197462
balkon-24h-v2;6-12-2024;3:27:0;60;433920000;0.000163964;0.000316811;0.000197047
balkon-24h-v2;6-12-2024;3:28:15;60;433920000;0.000164434;0.00050002;0.000200938
balkon-24h-v2;6-12-2024;3:29:30;60;433920000;0.000164617;0.000603226;0.000195981
balkon-24h-v2;6-12-2024;3:30:45;60;433920000;0.0001666;0.000330717;0.000196758
balkon-24h-v2;6-12-2024;3:32:1;60;433920000;0.000162014;0.000326257;0.000194737
balkon-24h-v2;6-12-2024;3:33:16;60;433920000;0.000161225;0.000482353;0.000194797
balkon-24h-v2;6-12-2024;3:34:31;60;433920000;0.000167412;0.000697689;0.000198663
balkon-24h-v2;6-12-2024;3:35:46;60;433920000;0.000162573;0.000511328;0.000202761
balkon-24h-v2;6-12-2024;3:37:1;60;433920000;0.000161893;0.000314595;0.00019605
balkon-24h-v2;6-12-2024;3:38:16;60;433920000;0.00016136;0.000313856;0.000193884
balkon-24h-v2;6-12-2024;3:39:31;60;433920000;0.000166188;0.000311277;0.00019842
balkon-24h-v2;6-12-2024;3:40:46;60;433920000;0.000165268;0.000382308;0.000197207
balkon-24h-v2;6-12-2024;3:42:1;60;433920000;0.000165078;0.00051468;0.00019458
balkon-24h-v2;6-12-2024;3:43:16;60;433920000;0.000166815;0.000463066;0.00020142
balkon-24h-v2;6-12-2024;3:44:31;60;433920000;0.000164353;0.000519148;0.000202312
balkon-24h-v2;6-12-2024;3:45:46;60;433920000;0.000170051;0.000348849;0.000206883
balkon-24h-v2;6-12-2024;3:47:1;60;433920000;0.000169777;0.00032788;0.000204979
balkon-24h-v2;6-12-2024;3:48:16;60;433920000;0.000171745;0.000342383;0.000210158
balkon-24h-v2;6-12-2024;3:49:31;60;433920000;0.000169112;0.000320391;0.000204518
balkon-24h-v2;6-12-2024;3:50:46;60;433920000;0.000172827;0.000410862;0.000210664
balkon-24h-v2;6-12-2024;3:52:1;60;433920000;0.000164863;0.000477124;0.000192951
balkon-24h-v2;6-12-2024;3:53:16;60;433920000;0.000167026;0.00031273;0.000197089
balkon-24h-v2;6-12-2024;3:54:31;60;433920000;0.000168686;0.000430285;0.000201265
balkon-24h-v2;6-12-2024;3:55:46;60;433920000;0.000167863;0.00286352;0.000200402
balkon-24h-v2;6-12-2024;3:57:1;60;433920000;0.000166475;0.000305903;0.000199202
balkon-24h-v2;6-12-2024;3:58:16;60;433920000;0.000169583;0.000511061;0.000198352
balkon-24h-v2;6-12-2024;3:59:31;60;433920000;0.000167972;0.000502299;0.000198206
balkon-24h-v2;6-12-2024;4:0:46;60;433920000;0.000173799;0.00040585;0.000209514
balkon-24h-v2;6-12-2024;4:2:1;60;433920000;0.00017708;0.000556945;0.000221796
balkon-24h-v2;6-12-2024;4:3:16;60;433920000;0.000178641;0.000680985;0.00022646
balkon-24h-v2;6-12-2024;4:4:31;60;433920000;0.000179123;0.000456597;0.000227667
balkon-24h-v2;6-12-2024;4:5:46;60;433920000;0.000177354;0.000450513;0.000223525
balkon-24h-v2;6-12-2024;4:7:1;60;433920000;0.000182044;0.000614178;0.000228312
balkon-24h-v2;6-12-2024;4:8:16;60;433920000;0.000180548;0.000597294;0.000229117
balkon-24h-v2;6-12-2024;4:9:31;60;433920000;0.000183096;0.000632774;0.000227772
balkon-24h-v2;6-12-2024;4:10:46;60;433920000;0.000179727;0.00045789;0.00022438
balkon-24h-v2;6-12-2024;4:12:1;60;433920000;0.000178239;0.000534367;0.000225423
balkon-24h-v2;6-12-2024;4:13:16;60;433920000;0.000181558;0.000415223;0.000229357
balkon-24h-v2;6-12-2024;4:14:31;60;433920000;0.000175106;0.000414835;0.00022383
balkon-24h-v2;6-12-2024;4:15:46;60;433920000;0.000178801;0.000517502;0.000221957
balkon-24h-v2;6-12-2024;4:17:1;60;433920000;0.000175095;0.00055161;0.00021972
balkon-24h-v2;6-12-2024;4:18:16;60;433920000;0.000176841;0.000421933;0.000222665
balkon-24h-v2;6-12-2024;4:19:31;60;433920000;0.000170321;0.000394602;0.000221503
balkon-24h-v2;6-12-2024;4:20:46;60;433920000;0.000175735;0.000503797;0.000226132
balkon-24h-v2;6-12-2024;4:22:1;60;433920000;0.000174784;0.000467652;0.000217135
balkon-24h-v2;6-12-2024;4:23:16;60;433920000;0.000174663;0.000503565;0.000222327
balkon-24h-v2;6-12-2024;4:24:31;60;433920000;0.00017519;0.000385263;0.000221782
balkon-24h-v2;6-12-2024;4:25:46;60;433920000;0.000171973;0.000461455;0.000217454
balkon-24h-v2;6-12-2024;4:27:1;60;433920000;0.000172117;0.000378088;0.000217967
balkon-24h-v2;6-12-2024;4:28:16;60;433920000;0.000172278;0.000367962;0.000215569
balkon-24h-v2;6-12-2024;4:29:31;60;433920000;0.000171666;0.000527287;0.000209037
balkon-24h-v2;6-12-2024;4:30:46;60;433920000;0.00016768;0.000512062;0.000210881
balkon-24h-v2;6-12-2024;4:32:1;60;433920000;0.000170003;0.000489759;0.000206494
balkon-24h-v2;6-12-2024;4:33:16;60;433920000;0.000168383;0.000592365;0.000208996
balkon-24h-v2;6-12-2024;4:34:31;60;433920000;0.000167089;0.000343837;0.000208045
balkon-24h-v2;6-12-2024;4:35:46;60;433920000;0.000170469;0.000351213;0.000206494
balkon-24h-v2;6-12-2024;4:37:1;60;433920000;0.000171679;0.000820746;0.000269692
balkon-24h-v2;6-12-2024;4:38:16;60;433920000;0.000167769;0.000343017;0.000209086
balkon-24h-v2;6-12-2024;4:39:31;60;433920000;0.000167308;0.000595196;0.000207248
balkon-24h-v2;6-12-2024;4:40:46;60;433920000;0.000168368;0.000373549;0.00020726
balkon-24h-v2;6-12-2024;4:42:1;60;433920000;0.000166884;0.000461267;0.000207213
balkon-24h-v2;6-12-2024;4:43:16;60;433920000;0.000168758;0.000360361;0.000209225
balkon-24h-v2;6-12-2024;4:44:31;60;433920000;0.000169418;0.00124168;0.000210468
balkon-24h-v2;6-12-2024;4:45:46;60;433920000;0.000172827;0.000387723;0.000214178
balkon-24h-v2;6-12-2024;4:47:1;60;433920000;0.000171745;0.000541093;0.000213529
balkon-24h-v2;6-12-2024;4:48:16;60;433920000;0.000174099;0.000358595;0.000210525
balkon-24h-v2;6-12-2024;4:49:31;60;433920000;0.000171874;0.000550159;0.000214698
balkon-24h-v2;6-12-2024;4:50:46;60;433920000;0.000174593;0.000506803;0.000215925
balkon-24h-v2;6-12-2024;4:52:1;60;433920000;0.000168696;0.000419999;0.000218832
balkon-24h-v2;6-12-2024;4:53:16;60;433920000;0.000166174;0.000365687;0.000209096
balkon-24h-v2;6-12-2024;4:54:31;60;433920000;0.000162249;0.000321658;0.000202372
balkon-24h-v2;6-12-2024;4:55:46;60;433920000;0.000165747;0.000465251;0.000202861
balkon-24h-v2;6-12-2024;4:57:1;60;433920000;0.000169123;0.000330346;0.000207659
balkon-24h-v2;6-12-2024;4:58:16;60;433920000;0.000168551;0.000563777;0.000202993
balkon-24h-v2;6-12-2024;4:59:31;60;433920000;0.000171253;0.000332178;0.000207683
