description;date;time;duration_s;frequency;min;max;avg
balkon-24h-v2;30-11-2024;3:0:49;60;869000000;6.65057e-06;0.00224303;7.58387e-06
balkon-24h-v2;30-11-2024;3:2:4;60;869000000;6.65843e-06;7.06547e-06;6.79008e-06
balkon-24h-v2;30-11-2024;3:3:19;60;869000000;6.68848e-06;0.000223671;6.89606e-06
balkon-24h-v2;30-11-2024;3:4:34;60;869000000;6.64102e-06;0.000242653;6.86873e-06
balkon-24h-v2;30-11-2024;3:5:49;60;869000000;6.61403e-06;0.000238348;6.84944e-06
balkon-24h-v2;30-11-2024;3:7:4;60;869000000;6.64573e-06;0.00100697;7.13407e-06
balkon-24h-v2;30-11-2024;3:8:19;60;869000000;6.60503e-06;0.000683926;7.02449e-06
balkon-24h-v2;30-11-2024;3:9:34;60;869000000;6.62127e-06;7.04858e-06;6.78077e-06
balkon-24h-v2;30-11-2024;3:10:49;60;869000000;6.64139e-06;0.000702509;7.03155e-06
balkon-24h-v2;30-11-2024;3:12:4;60;869000000;6.63819e-06;7.01744e-06;6.78081e-06
balkon-24h-v2;30-11-2024;3:13:19;60;869000000;6.64555e-06;7.02195e-06;6.78671e-06
balkon-24h-v2;30-11-2024;3:14:34;60;869000000;6.6587e-06;0.000591118;7.01179e-06
balkon-24h-v2;30-11-2024;3:15:49;60;869000000;6.66672e-06;0.00436823;8.39182e-06
balkon-24h-v2;30-11-2024;3:17:4;60;869000000;6.641e-06;0.000766556;7.05912e-06
balkon-24h-v2;30-11-2024;3:18:19;60;869000000;6.67832e-06;0.00206008;7.57323e-06
balkon-24h-v2;30-11-2024;3:19:34;60;869000000;6.64787e-06;0.000565681;7.03154e-06
balkon-24h-v2;30-11-2024;3:20:49;60;869000000;6.66131e-06;0.000637722;7.02694e-06
balkon-24h-v2;30-11-2024;3:22:4;60;869000000;6.65578e-06;0.000671206;7.03664e-06
balkon-24h-v2;30-11-2024;3:23:19;60;869000000;6.67267e-06;0.000619252;7.02256e-06
balkon-24h-v2;30-11-2024;3:24:34;60;869000000;6.6417e-06;0.00329032;8.02605e-06
balkon-24h-v2;30-11-2024;3:25:49;60;869000000;6.59618e-06;6.93842e-06;6.74886e-06
balkon-24h-v2;30-11-2024;3:27:4;60;869000000;6.67456e-06;0.000123473;6.85959e-06
balkon-24h-v2;30-11-2024;3:28:19;60;869000000;6.67902e-06;0.000684484;7.06907e-06
balkon-24h-v2;30-11-2024;3:29:34;60;869000000;6.48553e-06;0.00177492;7.46452e-06
balkon-24h-v2;30-11-2024;3:30:49;60;869000000;6.69757e-06;0.000542753;7.03012e-06
balkon-24h-v2;30-11-2024;3:32:4;60;869000000;6.69868e-06;0.00368305;8.17175e-06
balkon-24h-v2;30-11-2024;3:33:19;60;869000000;6.66666e-06;0.000594379;7.02592e-06
balkon-24h-v2;30-11-2024;3:34:34;60;869000000;6.65457e-06;7.11168e-06;6.80064e-06
balkon-24h-v2;30-11-2024;3:35:49;60;869000000;6.67516e-06;7.08508e-06;6.83464e-06
balkon-24h-v2;30-11-2024;3:37:4;60;869000000;6.67934e-06;7.01758e-06;6.83873e-06
balkon-24h-v2;30-11-2024;3:38:19;60;869000000;6.68986e-06;7.05447e-06;6.83627e-06
balkon-24h-v2;30-11-2024;3:39:34;60;869000000;6.69078e-06;7.08226e-06;6.82203e-06
balkon-24h-v2;30-11-2024;3:40:49;60;869000000;6.71105e-06;0.000797964;7.13197e-06
balkon-24h-v2;30-11-2024;3:42:4;60;869000000;6.68819e-06;0.000740164;7.15287e-06
balkon-24h-v2;30-11-2024;3:43:19;60;869000000;6.66508e-06;0.00201104;7.57112e-06
balkon-24h-v2;30-11-2024;3:44:34;60;869000000;6.72321e-06;0.00057526;7.05752e-06
balkon-24h-v2;30-11-2024;3:45:49;60;869000000;6.69752e-06;7.11505e-06;6.83438e-06
balkon-24h-v2;30-11-2024;3:47:4;60;869000000;6.64959e-06;0.000603507;7.02507e-06
balkon-24h-v2;30-11-2024;3:48:19;60;869000000;6.69008e-06;7.08386e-06;6.84842e-06
balkon-24h-v2;30-11-2024;3:49:34;60;869000000;6.66425e-06;0.000705512;7.08853e-06
balkon-24h-v2;30-11-2024;3:50:49;60;869000000;6.73562e-06;0.00076359;7.1746e-06
balkon-24h-v2;30-11-2024;3:52:4;60;869000000;6.75606e-06;7.14576e-06;6.92777e-06
balkon-24h-v2;30-11-2024;3:53:19;60;869000000;6.64473e-06;7.03136e-06;6.79962e-06
balkon-24h-v2;30-11-2024;3:54:34;60;869000000;6.6968e-06;7.0481e-06;6.81751e-06
balkon-24h-v2;30-11-2024;3:55:49;60;869000000;6.69143e-06;7.06254e-06;6.82686e-06
balkon-24h-v2;30-11-2024;3:57:4;60;869000000;6.69821e-06;0.000426115;6.99325e-06
