description;date;time;duration_s;frequency;min;max;avg
0x0;28-11-2024;19:44:51;60;433920000;0.00146279;0.00644457;0.00226418
0x0;28-11-2024;19:46:6;60;433920000;0.00137562;0.00511097;0.00199539
0x1;28-11-2024;19:51:3;60;433920000;0.000315879;0.00128864;0.000525009
0x1;28-11-2024;19:52:18;60;433920000;0.000323749;0.0012864;0.000501968
0x2;28-11-2024;19:54:1;60;433920000;0.00040588;0.00167944;0.000674148
0x2;28-11-2024;19:55:16;60;433920000;0.000394775;0.00494843;0.000707878
0x3;28-11-2024;19:57:2;60;433920000;0.00967525;0.0128342;0.0106921
0x3;28-11-2024;19:58:17;60;433920000;0.0093904;0.0121008;0.0101031
1x0;28-11-2024;20:0:24;60;433920000;0.00061445;0.00674647;0.00150237
1x0;28-11-2024;20:1:39;60;433920000;0.000729799;0.00587577;0.00182382
1x1;28-11-2024;20:3:23;60;433920000;0.00133606;0.0073011;0.0027038
1x1;28-11-2024;20:4:38;60;433920000;0.00131828;0.0086913;0.00271359
1x2;28-11-2024;20:6:12;60;433920000;0.000964021;0.00738756;0.00242393
1x2;28-11-2024;20:7:27;60;433920000;0.000979983;0.00763393;0.00237024
1x3;28-11-2024;20:9:6;60;433920000;0.000944489;0.00742462;0.00223153
1x3;28-11-2024;20:10:21;60;433920000;0.000894617;0.00768924;0.00207616
2x0;28-11-2024;20:17:3;60;433920000;0.000244239;0.00162317;0.000475259
2x0;28-11-2024;20:18:18;60;433920000;0.000273942;0.00194618;0.000512969
2x1;28-11-2024;20:20:57;60;433920000;0.000611048;0.00879098;0.00202033
2x1;28-11-2024;20:22:12;60;433920000;0.000536402;0.00889863;0.00190912
2x2;28-11-2024;20:25:2;60;433920000;0.000265005;0.00567248;0.00121096
2x2;28-11-2024;20:26:17;60;433920000;0.000370297;0.00514907;0.00114851
2x3;28-11-2024;20:28:11;60;433920000;0.00122105;0.0138999;0.00289305
2x3;28-11-2024;20:29:26;60;433920000;0.00115981;0.0185006;0.00484364
3x0;28-11-2024;20:32:59;60;433920000;0.000211447;0.0017004;0.000457779
3x0;28-11-2024;20:34:14;60;433920000;0.000236647;0.00222595;0.000455776
3x1;28-11-2024;20:36:49;60;433920000;0.000171446;0.00352241;0.000835705
3x1;28-11-2024;20:38:4;60;433920000;0.000329369;0.00563337;0.0015027
3x2;28-11-2024;20:39:33;60;433920000;0.000420446;0.00581982;0.00126846
3x2;28-11-2024;20:40:48;60;433920000;0.000477253;0.00595426;0.00168914
3x3;28-11-2024;20:42:56;60;433920000;0.000527669;0.00690503;0.00169842
3x3;28-11-2024;20:44:11;60;433920000;0.000728469;0.00849246;0.00214373
4x0;28-11-2024;20:46:41;60;433920000;0.000386154;0.00595626;0.00142086
4x0;28-11-2024;20:47:56;60;433920000;0.000370459;0.00609889;0.00126329
4x1;28-11-2024;20:49:58;60;433920000;0.000230349;0.00120291;0.000418141
4x1;28-11-2024;20:51:13;60;433920000;0.000257998;0.00198438;0.000633726
4x2;28-11-2024;20:53:40;60;433920000;0.000179728;0.00202577;0.000339985
4x2;28-11-2024;20:54:55;60;433920000;0.000157717;0.00116184;0.000335564
5x0;28-11-2024;20:57:26;60;433920000;0.000247853;0.00139579;0.000375774
5x0;28-11-2024;20:58:41;60;433920000;0.000242546;0.000696167;0.000329315
5x1;28-11-2024;21:2:59;60;433920000;0.000362496;0.00197653;0.000669121
5x1;28-11-2024;21:4:14;60;433920000;0.000357709;0.00177312;0.000608912
5x2;28-11-2024;21:15:53;60;433920000;0.000339246;0.00377161;0.00126074
5x2;28-11-2024;21:17:8;60;433920000;0.000320474;0.00293695;0.000885865
