description;date;time;duration_s;frequency;min;max;avg
balkon-24h-v2;7-12-2024;21:22:21;60;869000000;5.0249e-06;0.00243959;6.04416e-06
balkon-24h-v2;7-12-2024;21:23:36;60;869000000;4.93691e-06;0.000358327;5.21901e-06
balkon-24h-v2;7-12-2024;21:24:51;60;869000000;4.99315e-06;0.00110802;5.52644e-06
balkon-24h-v2;7-12-2024;21:26:6;60;869000000;4.98846e-06;0.000835604;5.4366e-06
balkon-24h-v2;7-12-2024;21:27:21;60;869000000;4.97855e-06;5.34242e-06;5.12325e-06
balkon-24h-v2;7-12-2024;21:28:36;60;869000000;5.00901e-06;5.3354e-06;5.12947e-06
balkon-24h-v2;7-12-2024;21:29:51;60;869000000;5.00866e-06;0.00111547;5.54374e-06
balkon-24h-v2;7-12-2024;21:31:6;60;869000000;5.02462e-06;5.38078e-06;5.14765e-06
balkon-24h-v2;7-12-2024;21:32:21;60;869000000;4.96676e-06;5.31823e-06;5.14467e-06
balkon-24h-v2;7-12-2024;21:33:36;60;869000000;5.05752e-06;5.35248e-06;5.17402e-06
balkon-24h-v2;7-12-2024;21:34:51;60;869000000;5.00277e-06;5.31673e-06;5.16255e-06
balkon-24h-v2;7-12-2024;21:36:6;60;869000000;5.08549e-06;5.40147e-06;5.19776e-06
balkon-24h-v2;7-12-2024;21:37:21;60;869000000;5.05494e-06;5.44338e-06;5.22011e-06
balkon-24h-v2;7-12-2024;21:38:36;60;869000000;5.11016e-06;5.41765e-06;5.21391e-06
balkon-24h-v2;7-12-2024;21:39:51;60;869000000;5.08946e-06;0.00261981;6.15039e-06
balkon-24h-v2;7-12-2024;21:41:6;60;869000000;5.02428e-06;0.000795946;5.478e-06
balkon-24h-v2;7-12-2024;21:42:21;60;869000000;5.08594e-06;0.000420016;5.34545e-06
balkon-24h-v2;7-12-2024;21:43:36;60;869000000;4.97442e-06;0.000818239;5.39318e-06
balkon-24h-v2;7-12-2024;21:44:51;60;869000000;5.07441e-06;5.4191e-06;5.19228e-06
balkon-24h-v2;7-12-2024;21:46:6;60;869000000;5.06115e-06;5.45935e-06;5.20537e-06
balkon-24h-v2;7-12-2024;21:47:21;60;869000000;5.03863e-06;5.44316e-06;5.17921e-06
balkon-24h-v2;7-12-2024;21:48:36;60;869000000;5.05844e-06;0.00109013;5.58725e-06
balkon-24h-v2;7-12-2024;21:49:51;60;869000000;5.06303e-06;0.000558495;5.38375e-06
balkon-24h-v2;7-12-2024;21:51:6;60;869000000;5.06177e-06;0.00138248;5.6893e-06
balkon-24h-v2;7-12-2024;21:52:21;60;869000000;5.03496e-06;0.000266761;5.25215e-06
balkon-24h-v2;7-12-2024;21:53:36;60;869000000;5.00678e-06;0.000301853;5.27363e-06
balkon-24h-v2;7-12-2024;21:54:51;60;869000000;5.04229e-06;0.00137944;5.70788e-06
balkon-24h-v2;7-12-2024;21:56:6;60;869000000;5.06354e-06;0.00265376;6.16605e-06
balkon-24h-v2;7-12-2024;21:57:21;60;869000000;5.07061e-06;0.000903617;5.53146e-06
balkon-24h-v2;7-12-2024;21:58:36;60;869000000;5.02221e-06;0.00257442;6.11352e-06
balkon-24h-v2;7-12-2024;21:59:51;60;869000000;5.05405e-06;0.00266428;6.14502e-06
balkon-24h-v2;7-12-2024;22:1:6;60;869000000;5.09669e-06;5.41641e-06;5.2333e-06
balkon-24h-v2;7-12-2024;22:2:21;60;869000000;5.00054e-06;5.3765e-06;5.1595e-06
balkon-24h-v2;7-12-2024;22:3:36;60;869000000;4.95702e-06;5.41584e-06;5.18546e-06
balkon-24h-v2;7-12-2024;22:4:51;60;869000000;5.00098e-06;0.00127074;5.60709e-06
balkon-24h-v2;7-12-2024;22:6:6;60;869000000;5.05125e-06;5.32018e-06;5.16654e-06
balkon-24h-v2;7-12-2024;22:7:21;60;869000000;5.02923e-06;5.48684e-06;5.18208e-06
balkon-24h-v2;7-12-2024;22:8:36;60;869000000;5.00362e-06;5.39118e-06;5.18653e-06
balkon-24h-v2;7-12-2024;22:9:51;60;869000000;5.07932e-06;5.39596e-06;5.20445e-06
balkon-24h-v2;7-12-2024;22:11:6;60;869000000;5.04729e-06;5.37245e-06;5.1536e-06
balkon-24h-v2;7-12-2024;22:12:21;60;869000000;4.98252e-06;0.00134545;5.65621e-06
balkon-24h-v2;7-12-2024;22:13:36;60;869000000;4.97842e-06;0.00092085;5.49202e-06
balkon-24h-v2;7-12-2024;22:14:51;60;869000000;4.95124e-06;5.32228e-06;5.09057e-06
balkon-24h-v2;7-12-2024;22:16:6;60;869000000;4.96605e-06;0.000954491;5.44779e-06
balkon-24h-v2;7-12-2024;22:17:21;60;869000000;4.92928e-06;0.00111719;5.48528e-06
balkon-24h-v2;7-12-2024;22:18:36;60;869000000;4.97374e-06;5.27809e-06;5.10916e-06
balkon-24h-v2;7-12-2024;22:19:51;60;869000000;4.98151e-06;5.30039e-06;5.08505e-06
balkon-24h-v2;7-12-2024;22:21:6;60;869000000;4.96384e-06;0.00120543;5.52063e-06
balkon-24h-v2;7-12-2024;22:22:21;60;869000000;4.93411e-06;0.000707468;5.3342e-06
balkon-24h-v2;7-12-2024;22:23:36;60;869000000;4.91479e-06;5.25052e-06;5.04433e-06
balkon-24h-v2;7-12-2024;22:24:51;60;869000000;4.91182e-06;5.2447e-06;5.06775e-06
balkon-24h-v2;7-12-2024;22:26:6;60;869000000;4.94009e-06;0.00128713;5.53496e-06
balkon-24h-v2;7-12-2024;22:27:21;60;869000000;4.96552e-06;0.000817741;5.37484e-06
balkon-24h-v2;7-12-2024;22:28:36;60;869000000;4.95782e-06;9.22845e-05;5.10285e-06
balkon-24h-v2;7-12-2024;22:29:51;60;869000000;4.95804e-06;0.000111456;5.11327e-06
balkon-24h-v2;7-12-2024;22:31:6;60;869000000;4.95107e-06;0.00145096;5.6099e-06
balkon-24h-v2;7-12-2024;22:32:21;60;869000000;4.91578e-06;0.0026108;6.01175e-06
balkon-24h-v2;7-12-2024;22:33:36;60;869000000;4.94812e-06;0.00274242;6.08951e-06
balkon-24h-v2;7-12-2024;22:34:51;60;869000000;4.91273e-06;0.00260732;6.05303e-06
balkon-24h-v2;7-12-2024;22:36:6;60;869000000;5.00943e-06;0.000796156;5.43943e-06
balkon-24h-v2;7-12-2024;22:37:21;60;869000000;5.00776e-06;0.00285919;6.17113e-06
balkon-24h-v2;7-12-2024;22:38:36;60;869000000;5.0177e-06;0.00267395;6.10349e-06
balkon-24h-v2;7-12-2024;22:39:51;60;869000000;4.98791e-06;0.00256923;6.04331e-06
balkon-24h-v2;7-12-2024;22:41:6;60;869000000;4.98884e-06;5.2878e-06;5.11734e-06
balkon-24h-v2;7-12-2024;22:42:21;60;869000000;4.83931e-06;5.29816e-06;5.03171e-06
balkon-24h-v2;7-12-2024;22:43:36;60;869000000;4.97654e-06;5.24435e-06;5.08071e-06
balkon-24h-v2;7-12-2024;22:44:51;60;869000000;4.96508e-06;5.26612e-06;5.06653e-06
balkon-24h-v2;7-12-2024;22:46:6;60;869000000;4.97687e-06;0.00120601;5.51685e-06
balkon-24h-v2;7-12-2024;22:47:21;60;869000000;4.96436e-06;5.28557e-06;5.08321e-06
balkon-24h-v2;7-12-2024;22:48:36;60;869000000;4.95758e-06;0.000663826;5.31315e-06
balkon-24h-v2;7-12-2024;22:49:51;60;869000000;4.98305e-06;5.32548e-06;5.09376e-06
balkon-24h-v2;7-12-2024;22:51:6;60;869000000;4.97814e-06;0.00118128;5.51999e-06
balkon-24h-v2;7-12-2024;22:52:21;60;869000000;4.93116e-06;0.000236844;5.19376e-06
balkon-24h-v2;7-12-2024;22:53:36;60;869000000;5.04732e-06;0.00136828;5.65006e-06
balkon-24h-v2;7-12-2024;22:54:51;60;869000000;5.03211e-06;0.00252244;6.05867e-06
balkon-24h-v2;7-12-2024;22:56:6;60;869000000;5.04308e-06;0.00271958;6.15137e-06
balkon-24h-v2;7-12-2024;22:57:21;60;869000000;4.90601e-06;0.00144552;5.62585e-06
balkon-24h-v2;7-12-2024;22:58:36;60;869000000;5.02255e-06;5.32632e-06;5.12754e-06
balkon-24h-v2;7-12-2024;22:59:51;60;869000000;5.00361e-06;0.00081189;5.39975e-06
balkon-24h-v2;7-12-2024;23:1:6;60;869000000;4.99103e-06;0.000867262;5.44816e-06
balkon-24h-v2;7-12-2024;23:2:21;60;869000000;4.88701e-06;0.00071805;5.31359e-06
balkon-24h-v2;7-12-2024;23:3:36;60;869000000;5.03648e-06;0.000685961;5.3886e-06
balkon-24h-v2;7-12-2024;23:4:51;60;869000000;4.99234e-06;0.000562687;5.30922e-06
balkon-24h-v2;7-12-2024;23:6:6;60;869000000;5.00638e-06;5.31106e-06;5.10882e-06
balkon-24h-v2;7-12-2024;23:7:21;60;869000000;4.97439e-06;0.000907697;5.46352e-06
balkon-24h-v2;7-12-2024;23:8:36;60;869000000;5.02979e-06;5.33582e-06;5.14424e-06
balkon-24h-v2;7-12-2024;23:9:51;60;869000000;5.0247e-06;0.000949749;5.50238e-06
balkon-24h-v2;7-12-2024;23:11:6;60;869000000;5.01162e-06;5.33282e-06;5.15684e-06
balkon-24h-v2;7-12-2024;23:12:21;60;869000000;5.04142e-06;0.000661208;5.38434e-06
balkon-24h-v2;7-12-2024;23:13:36;60;869000000;5.04086e-06;0.000759132;5.41884e-06
balkon-24h-v2;7-12-2024;23:14:51;60;869000000;4.941e-06;5.36325e-06;5.11089e-06
balkon-24h-v2;7-12-2024;23:16:6;60;869000000;5.02229e-06;5.36382e-06;5.12597e-06
balkon-24h-v2;7-12-2024;23:17:21;60;869000000;5.03801e-06;0.000220542;5.22225e-06
balkon-24h-v2;7-12-2024;23:18:36;60;869000000;4.9674e-06;0.00241981;6.00364e-06
balkon-24h-v2;7-12-2024;23:19:51;60;869000000;5.02521e-06;0.000949479;5.47158e-06
balkon-24h-v2;7-12-2024;23:21:6;60;869000000;4.95371e-06;0.000744559;5.3689e-06
balkon-24h-v2;7-12-2024;23:22:21;60;869000000;4.98477e-06;5.2921e-06;5.11075e-06
balkon-24h-v2;7-12-2024;23:23:36;60;869000000;5.03618e-06;5.28128e-06;5.12765e-06
balkon-24h-v2;7-12-2024;23:24:51;60;869000000;5.00467e-06;5.36115e-06;5.12135e-06
balkon-24h-v2;7-12-2024;23:26:6;60;869000000;5.02715e-06;0.000220797;5.20096e-06
balkon-24h-v2;7-12-2024;23:27:21;60;869000000;5.00448e-06;0.00235639;5.97224e-06
balkon-24h-v2;7-12-2024;23:28:36;60;869000000;4.97847e-06;0.00237804;5.96512e-06
balkon-24h-v2;7-12-2024;23:29:51;60;869000000;4.93489e-06;0.000683905;5.35644e-06
balkon-24h-v2;7-12-2024;23:31:7;60;869000000;4.99391e-06;5.33424e-06;5.10051e-06
balkon-24h-v2;7-12-2024;23:32:22;60;869000000;5.00549e-06;5.28541e-06;5.11879e-06
balkon-24h-v2;7-12-2024;23:33:37;60;869000000;5.01013e-06;0.000735124;5.38445e-06
balkon-24h-v2;7-12-2024;23:34:52;60;869000000;5.00618e-06;0.00229961;5.94459e-06
balkon-24h-v2;7-12-2024;23:36:7;60;869000000;4.97997e-06;0.00230804;5.95576e-06
balkon-24h-v2;7-12-2024;23:37:22;60;869000000;4.94539e-06;0.000270195;5.20585e-06
balkon-24h-v2;7-12-2024;23:38:37;60;869000000;5.02365e-06;0.000865213;5.44596e-06
balkon-24h-v2;7-12-2024;23:39:52;60;869000000;5.01988e-06;0.000580113;5.38131e-06
balkon-24h-v2;7-12-2024;23:41:7;60;869000000;5.05834e-06;5.38459e-06;5.17443e-06
balkon-24h-v2;7-12-2024;23:42:22;60;869000000;5.02827e-06;0.000647276;5.39513e-06
balkon-24h-v2;7-12-2024;23:43:37;60;869000000;5.06123e-06;0.0004457;5.35804e-06
balkon-24h-v2;7-12-2024;23:44:52;60;869000000;5.05322e-06;5.33287e-06;5.16495e-06
