description;date;time;duration_s;frequnecy;min;max;avg
0x0;27-11-2024;14:17:5;60;433920000;0.000367225;0.000851123;0.000489649
0x0;27-11-2024;14:18:20;60;433920000;0.000317273;0.0010404;0.000482327
0x1;27-11-2024;14:22:36;60;433920000;0.000130841;0.00129722;0.000611153
0x1;27-11-2024;14:23:51;60;433920000;0.000472497;0.00153075;0.000725173
0x2;27-11-2024;14:27:52;60;433920000;0.000144353;0.000444997;0.00020623
0x2;27-11-2024;14:29:7;60;433920000;0.000108391;0.000471199;0.000158506
0x3;27-11-2024;14:31:18;60;433920000;8.87764e-05;0.000552428;0.000161399
0x3;27-11-2024;14:32:33;60;433920000;8.5588e-05;0.000380754;0.00013951
0x4;27-11-2024;14:34:29;60;433920000;9.3988e-05;0.000341822;0.000139198
0x4;27-11-2024;14:35:44;60;433920000;8.63953e-05;0.000275759;0.000121496
1x0;27-11-2024;14:38:5;60;433920000;0.000386799;0.0010162;0.000528374
1x0;27-11-2024;14:39:20;60;433920000;0.000349459;0.00130777;0.000543527
1x1;27-11-2024;14:40:57;60;433920000;0.000215694;0.00110821;0.000427764
1x1;27-11-2024;14:42:12;60;433920000;0.000318929;0.000802924;0.000423429
1x2;27-11-2024;14:43:55;60;433920000;0.000275246;0.00187019;0.000598388
1x2;27-11-2024;14:45:10;60;433920000;0.000283888;0.00171611;0.000633626
1x3;27-11-2024;14:46:59;60;433920000;0.000160879;0.000615631;0.000219164
1x3;27-11-2024;14:48:14;60;433920000;0.000170916;0.000404275;0.000226756
1x4;27-11-2024;14:50:1;60;433920000;0.000546851;0.00402974;0.00128026
1x4;27-11-2024;14:51:16;60;433920000;0.000546973;0.004152;0.00127361
2x0;27-11-2024;14:53:49;60;433920000;0.000777716;0.00191075;0.00105532
2x0;27-11-2024;14:55:4;60;433920000;0.000752344;0.00170189;0.000988619
2x1;27-11-2024;14:57:3;60;433920000;0.000575209;0.00146677;0.000771573
2x1;27-11-2024;14:58:19;60;433920000;0.000566982;0.00146269;0.000771575
2x2;27-11-2024;14:59:58;60;433920000;0.00027586;0.00187172;0.000509492
2x2;27-11-2024;15:1:13;60;433920000;0.000291815;0.00149447;0.000512535
2x3;27-11-2024;15:3:45;60;433920000;0.000277039;0.00239869;0.000625116
2x3;27-11-2024;15:5:0;60;433920000;0.000364376;0.00177425;0.000649968
2x4;27-11-2024;15:7:3;60;433920000;0.000240243;0.000459528;0.000278756
2x4;27-11-2024;15:8:18;60;433920000;0.000235439;0.000614782;0.000279267
3x0;27-11-2024;15:10:44;60;433920000;0.00046455;0.00180557;0.000746801
3x0;27-11-2024;15:11:59;60;433920000;0.000461131;0.00172261;0.00071759
3x1;27-11-2024;15:14:8;60;433920000;0.000712786;0.00452443;0.00139813
3x1;27-11-2024;15:15:23;60;433920000;0.000789157;0.00397355;0.0013518
3x2;27-11-2024;15:16:54;60;433920000;0.000231927;0.000997628;0.000344407
3x2;27-11-2024;15:18:9;60;433920000;0.000241296;0.000886577;0.000340111
3x3;27-11-2024;15:19:38;60;433920000;0.000300955;0.00143552;0.000433979
3x3;27-11-2024;15:20:53;60;433920000;0.000304088;0.00117621;0.000487664
3x4;27-11-2024;15:22:41;60;433920000;0.000233175;0.00111431;0.000334438
3x4;27-11-2024;15:23:56;60;433920000;0.000242668;0.000913545;0.000364891
4x0;27-11-2024;15:26:52;60;433920000;0.000919866;0.00184467;0.00104751
4x0;27-11-2024;15:28:7;60;433920000;0.000913239;0.00136845;0.00105037
4x1;27-11-2024;15:30:4;60;433920000;0.000585076;0.00148342;0.000751138
4x1;27-11-2024;15:31:19;60;433920000;0.000544137;0.000966121;0.000667373
4x2;27-11-2024;15:32:49;60;433920000;0.000194446;0.000467293;0.000243027
4x2;27-11-2024;15:34:4;60;433920000;0.000202966;0.000531261;0.000261438
4x3;27-11-2024;15:36:0;60;433920000;0.000388091;0.00211943;0.000700951
4x3;27-11-2024;15:37:15;60;433920000;0.000377214;0.00168319;0.000675764
4x4;27-11-2024;15:39:46;60;433920000;0.00072941;0.00817132;0.00167064
4x4;27-11-2024;15:41:1;60;433920000;0.000406374;0.00410622;0.00116966
5x0;27-11-2024;15:42:54;60;433920000;0.000482225;0.00130279;0.000702148
5x0;27-11-2024;15:44:9;60;433920000;0.000425834;0.00112697;0.000672514
5x1;27-11-2024;15:45:51;60;433920000;0.000347768;0.00145602;0.000540881
5x1;27-11-2024;15:47:6;60;433920000;0.000348223;0.00124132;0.000548724
5x2;27-11-2024;15:49:13;60;433920000;0.00028128;0.00349277;0.000801846
5x2;27-11-2024;15:50:28;60;433920000;0.000286012;0.00331268;0.000746771
5x3;27-11-2024;15:51:58;60;433920000;0.000226494;0.0011969;0.000414284
5x3;27-11-2024;15:53:13;60;433920000;0.000255699;0.00130855;0.000433777
5x4;27-11-2024;15:54:39;60;433920000;0.000275951;0.0020345;0.000537398
5x4;27-11-2024;15:55:54;60;433920000;0.000277367;0.00219808;0.00054603
6x0;27-11-2024;15:57:34;60;433920000;0.000640506;0.00166382;0.000852975
6x0;27-11-2024;15:58:49;60;433920000;0.000590431;0.00165135;0.000858377
6x1;27-11-2024;16:0:31;60;433920000;0.00050337;0.00184307;0.000768885
6x1;27-11-2024;16:1:46;60;433920000;0.000399513;0.00160733;0.0007164
6x2;27-11-2024;16:3:14;60;433920000;0.000296897;0.00180152;0.000647799
6x2;27-11-2024;16:4:29;60;433920000;0.000268294;0.00148935;0.000510888
6x3;27-11-2024;16:6:6;60;433920000;0.000272956;0.00221805;0.000590075
6x3;27-11-2024;16:7:21;60;433920000;0.000321801;0.00195328;0.000639271
6x4;27-11-2024;16:8:57;60;433920000;0.00017735;0.00209495;0.000496638
6x4;27-11-2024;16:10:12;60;433920000;0.000207509;0.00167301;0.000571241
7x0;27-11-2024;16:11:55;60;433920000;0.00071311;0.00242655;0.00111847
7x0;27-11-2024;16:13:10;60;433920000;0.000869508;0.00200441;0.00112852
7x1;27-11-2024;16:15:5;60;433920000;0.00122325;0.00711544;0.00244735
7x1;27-11-2024;16:16:20;60;433920000;0.00157244;0.00699592;0.00256816
7x2;27-11-2024;16:18:59;60;433920000;0.00024362;0.00118715;0.00065724
7x2;27-11-2024;16:20:14;60;433920000;0.000462667;0.00163618;0.000601552
7x3;27-11-2024;16:21:44;60;433920000;0.00027782;0.00144929;0.000601975
7x3;27-11-2024;16:22:59;60;433920000;0.00016651;0.00134816;0.000603496
8x0;27-11-2024;16:24:35;60;433920000;0.000599447;0.00157282;0.000958386
8x0;27-11-2024;16:25:50;60;433920000;0.000770722;0.00184672;0.000956445
8x1;27-11-2024;16:27:14;60;433920000;0.000791853;0.00237796;0.00168234
8x1;27-11-2024;16:28:29;60;433920000;0.00130706;0.00244868;0.00170844
8x2;27-11-2024;16:29:50;60;433920000;0.000751045;0.00118772;0.000856339
8x2;27-11-2024;16:31:5;60;433920000;0.000619386;0.00146926;0.000829023
